Category,Value
affection,0.010534716679968
body,0.0154828411811652
children,0.0079808459696727
cold,0.0121308858739026
communication,0.0041500399042298
family,0.0065442936951316
friends,0.0151636073423782
giving,0.0078212290502793
hearing,0.0019154030327214
listen,0.0051077414205905
love,0.0183559457302474
movement,0.0062250598563447
music,0.005267358339984
negative_emotion,0.0173982442138866
nervousness,0.0127693535514764
night,0.0092577813248204
optimism,0.0111731843575419
pain,0.0170790103750997
party,0.007023144453312
positive_emotion,0.0170790103750997
shame,0.0153232242617717
speaking,0.0065442936951316
vacation,0.0060654429369513
violence,0.0146847565841979
youth,0.0057462090981644
