Category,Value
affection,0.0088277858176555
body,0.0143270622286541
children,0.0112879884225759
cold,0.0124457308248914
communication,0.0047756874095513
family,0.0057887120115774
friends,0.0150506512301013
giving,0.0091172214182344
hearing,0.003328509406657
listen,0.0052098408104196
love,0.018958031837916
movement,0.0063675832127351
music,0.0062228654124457
negative_emotion,0.0193921852387843
nervousness,0.0131693198263386
night,0.0026049204052098
optimism,0.0095513748191027
pain,0.0193921852387843
party,0.0044862518089725
positive_emotion,0.0159189580318379
shame,0.0151953690303907
speaking,0.0088277858176555
vacation,0.0015918958031837
violence,0.0149059334298118
youth,0.0079594790159189
