Category,Value
affection,0.01721922384991
body,0.0042405551272166
children,0.0074530968902595
cold,0.0023130300693909
communication,0.011308147005911
family,0.0069390902081727
friends,0.0212027756360832
giving,0.0048830634798252
hearing,0.0066820868671292
listen,0.0073245952197378
love,0.0186327422256489
movement,0.0034695451040863
music,0.0025700334104343
negative_emotion,0.0212027756360832
nervousness,0.0030840400925212
night,0.0057825751734772
optimism,0.0188897455666923
pain,0.0051400668208686
party,0.003598046774608
positive_emotion,0.0215882806476484
shame,0.0024415317399126
speaking,0.0147776921099974
vacation,0.0061680801850424
violence,0.0053970701619121
youth,0.0051400668208686
