Category,Value
affection,0.0121135646687697
body,0.0066876971608832
children,0.0073186119873817
cold,0.0049211356466876
communication,0.0074447949526813
family,0.0056782334384858
friends,0.0182965299684542
giving,0.0060567823343848
hearing,0.0238485804416403
listen,0.0044164037854889
love,0.0161514195583596
movement,0.0076971608832807
music,0.0055520504731861
negative_emotion,0.0189274447949526
nervousness,0.0036593059936908
night,0.009968454258675
optimism,0.0145110410094637
pain,0.0055520504731861
party,0.0046687697160883
positive_emotion,0.0186750788643533
shame,0.0040378548895899
speaking,0.0098422712933753
vacation,0.0063091482649842
violence,0.0054258675078864
youth,0.0073186119873817
