Category,Value
achievement,0.0004863024801426487
affection,0.019614200032420166
aggression,0.0003242016534284325
air_travel,0.0003242016534284325
alcohol,0.00129680661371373
ancient,0.0
anger,0.0
animal,0.0
anonymity,0.0
anticipation,0.0
appearance,0.0004863024801426487
art,0.004863024801426487
attractive,0.0024315124007132437
banking,0.000648403306856865
beach,0.0011347057869995137
beauty,0.00129680661371373
blue_collar_job,0.0003242016534284325
body,0.009401847949424542
breaking,0.00259361322742746
business,0.003566218187712757
car,0.000648403306856865
celebration,0.0034041173609985413
cheerfulness,0.0011347057869995137
childish,0.0034041173609985413
children,0.013778570270708381
cleaning,0.0008105041335710813
clothing,0.000648403306856865
cold,0.0072945372021397305
college,0.0008105041335710813
communication,0.013454368617279949
competing,0.000648403306856865
computer,0.0
confusion,0.0004863024801426487
contentment,0.004052520667855406
cooking,0.000648403306856865
crime,0.0
dance,0.0037283190144269734
death,0.004214621494569622
deception,0.0016210082671421625
disappointment,0.0003242016534284325
disgust,0.0003242016534284325
dispute,0.0009726049602852974
divine,0.00129680661371373
domestic_work,0.00129680661371373
dominant_heirarchical,0.0
dominant_personality,0.0
driving,0.0034041173609985413
eating,0.0008105041335710813
economics,0.000648403306856865
emotional,0.0004863024801426487
envy,0.0003242016534284325
exasperation,0.0
exercise,0.00016210082671421625
exotic,0.0
fabric,0.0004863024801426487
family,0.016210082671421624
farming,0.0
fashion,0.0003242016534284325
fear,0.0008105041335710813
feminine,0.003242016534284325
fight,0.0009726049602852974
fire,0.002755714054141676
friends,0.023990922353704005
fun,0.002755714054141676
furniture,0.0009726049602852974
gain,0.0
giving,0.0072945372021397305
government,0.0
hate,0.00129680661371373
healing,0.010698654563138272
health,0.0003242016534284325
hearing,0.010698654563138272
help,0.0038904198411411897
heroic,0.0014589074404279462
hiking,0.0
hipster,0.0008105041335710813
home,0.0016210082671421625
horror,0.0003242016534284325
hygiene,0.000648403306856865
independence,0.0
injury,0.003566218187712757
internet,0.0
irritability,0.0
journalism,0.0004863024801426487
joy,0.0
kill,0.00259361322742746
law,0.00016210082671421625
leader,0.0
legend,0.00016210082671421625
leisure,0.0004863024801426487
liquid,0.0022694115739990274
listen,0.00907764629599611
love,0.023990922353704005
lust,0.0
magic,0.0
masculine,0.0022694115739990274
medical_emergency,0.0024315124007132437
medieval,0.0
meeting,0.0004863024801426487
messaging,0.0008105041335710813
military,0.0
money,0.00129680661371373
monster,0.0
morning,0.002107310747284811
movement,0.004214621494569622
music,0.006321932241854434
musical,0.0037283190144269734
negative_emotion,0.020100502512562814
neglect,0.0003242016534284325
negotiate,0.0
nervousness,0.0043767223212838385
night,0.009239747122710326
noise,0.0003242016534284325
occupation,0.0003242016534284325
ocean,0.0008105041335710813
office,0.0011347057869995137
optimism,0.029502350461987355
order,0.009239747122710326
pain,0.008753444642567677
party,0.005349327281569136
payment,0.0003242016534284325
pet,0.0
philosophy,0.0
phone,0.0061598314151402175
plant,0.0004863024801426487
play,0.0008105041335710813
politeness,0.000648403306856865
politics,0.0
poor,0.0004863024801426487
positive_emotion,0.03306856864970011
power,0.0003242016534284325
pride,0.0004863024801426487
prison,0.00016210082671421625
programming,0.0
rage,0.0
reading,0.0008105041335710813
real_estate,0.000648403306856865
religion,0.00016210082671421625
restaurant,0.0009726049602852974
ridicule,0.000648403306856865
royalty,0.0003242016534284325
rural,0.0
sadness,0.000648403306856865
sailing,0.00016210082671421625
school,0.0014589074404279462
science,0.0003242016534284325
sexual,0.0008105041335710813
shame,0.005025125628140704
shape_and_size,0.0024315124007132437
ship,0.0
shopping,0.000648403306856865
sleep,0.0019452099205705948
smell,0.0011347057869995137
social_media,0.00016210082671421625
sound,0.002107310747284811
speaking,0.018641595072134868
sports,0.000648403306856865
stealing,0.0
strength,0.0016210082671421625
suffering,0.003566218187712757
superhero,0.0
surprise,0.0
swearing_terms,0.0043767223212838385
swimming,0.0
sympathy,0.0
technology,0.0
terrorism,0.0
timidity,0.000648403306856865
tool,0.0
torment,0.0004863024801426487
tourism,0.00016210082671421625
toy,0.0014589074404279462
traveling,0.00648403306856865
trust,0.004700923974712271
ugliness,0.0
urban,0.0003242016534284325
vacation,0.006646133895282866
valuable,0.000648403306856865
vehicle,0.0004863024801426487
violence,0.0061598314151402175
war,0.0004863024801426487
warmth,0.0034041173609985413
water,0.000648403306856865
weakness,0.0008105041335710813
wealthy,0.000648403306856865
weapon,0.00129680661371373
weather,0.004863024801426487
wedding,0.003242016534284325
white_collar_job,0.0003242016534284325
work,0.0008105041335710813
worship,0.0003242016534284325
writing,0.0008105041335710813
youth,0.012805965310423084
zest,0.0
