Category,Value
affection,0.0094140789658564
body,0.006744414781509
children,0.0109596740199522
cold,0.0036532246733174
communication,0.0051988197274132
family,0.0082900098356048
friends,0.0119432345089222
giving,0.0039342419558802
hearing,0.0033722073907545
listen,0.0053393283686946
love,0.0123647604327666
movement,0.0105381480961079
music,0.0057608542925389
negative_emotion,0.014753407334551
nervousness,0.0037937333145988
night,0.0099761135309821
optimism,0.0120837431502037
pain,0.0054798370099761
party,0.0060418715751018
positive_emotion,0.0140508641281438
shame,0.0051988197274132
speaking,0.0059013629338204
vacation,0.0078684839117605
violence,0.0051988197274132
youth,0.0084305184768863
