Category,Value
achievement,0.0007469375560203167
affection,0.0044816253361219
aggression,0.0032865252464893933
air_travel,0.00044816253361219
alcohol,0.00134448760083657
ancient,0.00044816253361219
anger,0.0016432626232446967
animal,0.0011951000896325067
anonymity,0.0
anticipation,0.00014938751120406333
appearance,0.0005975500448162533
art,0.0023902001792650133
attractive,0.0019420376456528235
banking,0.0005975500448162533
beach,0.002091425156856887
beauty,0.0044816253361219
blue_collar_job,0.00014938751120406333
body,0.013594263519569764
breaking,0.00537795040334628
business,0.00537795040334628
car,0.00627427547057066
celebration,0.00089632506722438
cheerfulness,0.00044816253361219
childish,0.004332237824917837
children,0.006573050492978787
cleaning,0.00044816253361219
clothing,0.00014938751120406333
cold,0.008664475649835674
college,0.0
communication,0.005228562892142217
competing,0.0014938751120406335
computer,0.0
confusion,0.0016432626232446967
contentment,0.00851508813863161
cooking,0.0010457125784284435
crime,0.00134448760083657
dance,0.00179265013444876
death,0.00403346280250971
deception,0.0011951000896325067
disappointment,0.00044816253361219
disgust,0.0007469375560203167
dispute,0.00268897520167314
divine,0.00134448760083657
domestic_work,0.00358530026889752
dominant_heirarchical,0.0
dominant_personality,0.00029877502240812666
driving,0.00672243800418285
eating,0.0014938751120406335
economics,0.0007469375560203167
emotional,0.004631012847325963
envy,0.0005975500448162533
exasperation,0.00014938751120406333
exercise,0.0
exotic,0.0007469375560203167
fabric,0.0
family,0.00537795040334628
farming,0.00014938751120406333
fashion,0.00014938751120406333
fear,0.00313713773528533
feminine,0.0025395876904690767
fight,0.002987750224081267
fire,0.006423662981774723
friends,0.009710188228264117
fun,0.0014938751120406335
furniture,0.0005975500448162533
gain,0.0005975500448162533
giving,0.007021213026590977
government,0.0
hate,0.0028383627128772035
healing,0.0025395876904690767
health,0.00044816253361219
hearing,0.004780400358530027
help,0.0025395876904690767
heroic,0.0005975500448162533
hiking,0.00044816253361219
hipster,0.0005975500448162533
home,0.00492978786973409
horror,0.00179265013444876
hygiene,0.00014938751120406333
independence,0.0
injury,0.008365700627427548
internet,0.00014938751120406333
irritability,0.00014938751120406333
journalism,0.0005975500448162533
joy,0.0010457125784284435
kill,0.004182850313713774
law,0.00029877502240812666
leader,0.00014938751120406333
legend,0.0007469375560203167
leisure,0.00089632506722438
liquid,0.0019420376456528235
listen,0.00717060053779504
love,0.01254855094114132
lust,0.00134448760083657
magic,0.0007469375560203167
masculine,0.0011951000896325067
medical_emergency,0.0019420376456528235
medieval,0.0
meeting,0.0007469375560203167
messaging,0.0005975500448162533
military,0.0
money,0.00313713773528533
monster,0.00029877502240812666
morning,0.0011951000896325067
movement,0.004182850313713774
music,0.005228562892142217
musical,0.002091425156856887
negative_emotion,0.022258739169405437
neglect,0.0010457125784284435
negotiate,0.0005975500448162533
nervousness,0.009560800717060053
night,0.00627427547057066
noise,0.00179265013444876
occupation,0.00029877502240812666
ocean,0.0005975500448162533
office,0.00044816253361219
optimism,0.006423662981774723
order,0.00268897520167314
pain,0.015386913654018524
party,0.0019420376456528235
payment,0.0011951000896325067
pet,0.0016432626232446967
philosophy,0.00014938751120406333
phone,0.00313713773528533
plant,0.00014938751120406333
play,0.0014938751120406335
politeness,0.00014938751120406333
politics,0.0
poor,0.00029877502240812666
positive_emotion,0.01075590080669256
power,0.0025395876904690767
pride,0.00029877502240812666
prison,0.0005975500448162533
programming,0.0
rage,0.00029877502240812666
reading,0.0011951000896325067
real_estate,0.00044816253361219
religion,0.00029877502240812666
restaurant,0.0005975500448162533
ridicule,0.0007469375560203167
royalty,0.00014938751120406333
rural,0.0011951000896325067
sadness,0.005676725425754407
sailing,0.00044816253361219
school,0.00029877502240812666
science,0.0
sexual,0.0014938751120406335
shame,0.014490588586794143
shape_and_size,0.00179265013444876
ship,0.00029877502240812666
shopping,0.0007469375560203167
sleep,0.00268897520167314
smell,0.0
social_media,0.0005975500448162533
sound,0.0034359127576934568
speaking,0.010457125784284434
sports,0.00014938751120406333
stealing,0.00044816253361219
strength,0.005527337914550344
suffering,0.007917538093815357
superhero,0.0
surprise,0.00313713773528533
swearing_terms,0.0023902001792650133
swimming,0.00044816253361219
sympathy,0.0007469375560203167
technology,0.0
terrorism,0.00014938751120406333
timidity,0.0011951000896325067
tool,0.00014938751120406333
torment,0.0014938751120406335
tourism,0.00014938751120406333
toy,0.00134448760083657
traveling,0.005527337914550344
trust,0.00537795040334628
ugliness,0.00014938751120406333
urban,0.0011951000896325067
vacation,0.006573050492978787
valuable,0.00029877502240812666
vehicle,0.006573050492978787
violence,0.015237526142814461
war,0.0023902001792650133
warmth,0.00492978786973409
water,0.0011951000896325067
weakness,0.002091425156856887
wealthy,0.0007469375560203167
weapon,0.0037346877801015836
weather,0.00403346280250971
wedding,0.0005975500448162533
white_collar_job,0.00014938751120406333
work,0.00089632506722438
worship,0.00029877502240812666
writing,0.0014938751120406335
youth,0.00492978786973409
zest,0.0010457125784284435
