Category,Value
affection,0.0124461464815701
body,0.0039891495133237
children,0.0207435774692835
cold,0.0033508855911919
communication,0.0097335248125099
family,0.0180309558002233
friends,0.0167544279559597
giving,0.0041487154938567
hearing,0.0039891495133237
listen,0.006382639221318
love,0.0132439763842348
movement,0.0067017711823839
music,0.0060635072602521
negative_emotion,0.0188287857028881
nervousness,0.0036700175522578
night,0.0036700175522578
optimism,0.0137226743258337
pain,0.0082974309877134
party,0.0047869794159885
positive_emotion,0.0193074836444869
shame,0.0051061113770544
speaking,0.0134035423647678
vacation,0.0036700175522578
violence,0.0043082814743896
youth,0.0173926918780915
