Filename,achievement,affection,aggression,air_travel,alcohol,ancient,anger,animal,anonymity,anticipation,appearance,art,attractive,banking,beach,beauty,blue_collar_job,body,breaking,business,car,celebration,cheerfulness,childish,children,cleaning,clothing,cold,college,communication,competing,computer,confusion,contentment,cooking,crime,dance,death,deception,disappointment,disgust,dispute,divine,domestic_work,dominant_heirarchical,dominant_personality,driving,eating,economics,emotional,envy,exasperation,exercise,exotic,fabric,family,farming,fashion,fear,feminine,fight,fire,friends,fun,furniture,gain,giving,government,hate,healing,health,hearing,help,heroic,hiking,hipster,home,horror,hygiene,independence,injury,internet,irritability,journalism,joy,kill,law,leader,legend,leisure,liquid,listen,love,lust,magic,masculine,medical_emergency,medieval,meeting,messaging,military,money,monster,morning,movement,music,musical,negative_emotion,neglect,negotiate,nervousness,night,noise,occupation,ocean,office,optimism,order,pain,party,payment,pet,philosophy,phone,plant,play,politeness,politics,poor,positive_emotion,power,pride,prison,programming,rage,reading,real_estate,religion,restaurant,ridicule,royalty,rural,sadness,sailing,school,science,sexual,shame,shape_and_size,ship,shopping,sleep,smell,social_media,sound,speaking,sports,stealing,strength,suffering,superhero,surprise,swearing_terms,swimming,sympathy,technology,terrorism,timidity,tool,torment,tourism,toy,traveling,trust,ugliness,urban,vacation,valuable,vehicle,violence,war,warmth,water,weakness,wealthy,weapon,weather,wedding,white_collar_job,work,worship,writing,youth,zest
Heartbreak Anniversary_lyrics.txt,0.0,0.008064516129032258,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.004032258064516129,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.016129032258064516,0.016129032258064516,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.004032258064516129,0.0,0.0,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.004032258064516129,0.0,0.0
feel something_lyrics.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.07473309608540925,0.0,0.06761565836298933,0.0,0.0,0.0,0.010676156583629894,0.0071174377224199285,0.0,0.0,0.07829181494661921,0.0,0.021352313167259787,0.0,0.0,0.0,0.07473309608540925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0,0.010676156583629894,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0071174377224199285,0.0035587188612099642,0.0035587188612099642,0.0,0.0035587188612099642,0.0,0.0,0.0,0.06761565836298933,0.0,0.010676156583629894,0.0,0.0035587188612099642,0.014234875444839857,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.010676156583629894,0.0035587188612099642,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014234875444839857,0.07473309608540925,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0,0.0,0.0,0.010676156583629894,0.0,0.0,0.02491103202846975,0.0,0.0,0.07829181494661921,0.0,0.0,0.0,0.0,0.0,0.0,0.010676156583629894,0.099644128113879,0.0,0.0,0.0,0.0,0.014234875444839857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.010676156583629894,0.0,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0,0.010676156583629894,0.09252669039145907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028469750889679714,0.0,0.0,0.0,0.017793594306049824,0.0,0.0,0.02491103202846975,0.0,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09252669039145907,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.010676156583629894,0.0071174377224199285,0.0
Girls Like You_lyrics.txt,0.0,0.0,0.0,0.0019646365422396855,0.0019646365422396855,0.0,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03339882121807466,0.0019646365422396855,0.005893909626719057,0.0,0.04518664047151277,0.03732809430255403,0.0,0.003929273084479371,0.0,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0019646365422396855,0.0,0.003929273084479371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007858546168958742,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019646365422396855,0.0019646365422396855,0.0,0.0,0.03929273084479371,0.0,0.003929273084479371,0.05108055009823183,0.01768172888015717,0.0,0.0,0.03339882121807466,0.0,0.0,0.0019646365422396855,0.0,0.0019646365422396855,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01768172888015717,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0,0.003929273084479371,0.0,0.0,0.0,0.0,0.0,0.0019646365422396855,0.0137524557956778,0.0137524557956778,0.009823182711198428,0.0,0.0,0.0,0.007858546168958742,0.0,0.0,0.0,0.0,0.007858546168958742,0.0,0.0,0.021611001964636542,0.0,0.003929273084479371,0.0,0.0019646365422396855,0.0019646365422396855,0.01768172888015717,0.0019646365422396855,0.0,0.0,0.003929273084479371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019646365422396855,0.0,0.0,0.0019646365422396855,0.009823182711198428,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01768172888015717,0.005893909626719057,0.0,0.0,0.0,0.0137524557956778,0.0,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03732809430255403,0.0
You & I_lyrics.txt,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.011811023622047244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.003937007874015748,0.003937007874015748,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.007874015748031496,0.0,0.0,0.0,0.003937007874015748,0.003937007874015748,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.01968503937007874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.003937007874015748,0.0,0.0,0.003937007874015748,0.003937007874015748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011811023622047244,0.0,0.0,0.0
Everything at Once_lyrics.txt,0.0,0.0031446540880503146,0.006289308176100629,0.0,0.0,0.0031446540880503146,0.0,0.031446540880503145,0.0,0.0,0.0031446540880503146,0.006289308176100629,0.006289308176100629,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.006289308176100629,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,0.009433962264150943,0.0,0.0031446540880503146,0.0,0.0031446540880503146,0.0,0.0031446540880503146,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0031446540880503146,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0,0.0,0.0031446540880503146,0.0,0.012578616352201259,0.006289308176100629,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0031446540880503146,0.0,0.0031446540880503146,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0031446540880503146,0.0031446540880503146,0.0,0.006289308176100629,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.009433962264150943,0.009433962264150943,0.012578616352201259,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.006289308176100629,0.0,0.0031446540880503146,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0031446540880503146,0.009433962264150943,0.0031446540880503146,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0031446540880503146,0.006289308176100629,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.006289308176100629,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.006289308176100629,0.0,0.0031446540880503146,0.0031446540880503146,0.0,0.012578616352201259,0.0031446540880503146,0.0,0.0,0.0031446540880503146,0.012578616352201259,0.0031446540880503146,0.0,0.0,0.0,0.006289308176100629,0.006289308176100629,0.0
Mama_lyrics.txt,0.002824858757062147,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.002824858757062147,0.0,0.0,0.0,0.0,0.002824858757062147,0.01694915254237288,0.005649717514124294,0.0,0.0,0.002824858757062147,0.014124293785310734,0.0,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.025423728813559324,0.005649717514124294,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.0,0.014124293785310734,0.0,0.0,0.0,0.002824858757062147,0.00847457627118644,0.002824858757062147,0.00847457627118644,0.0,0.0,0.0,0.011299435028248588,0.0,0.00847457627118644,0.005649717514124294,0.002824858757062147,0.00847457627118644,0.002824858757062147,0.0,0.0,0.0,0.002824858757062147,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0,0.002824858757062147,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.014124293785310734,0.005649717514124294,0.0,0.0,0.0,0.014124293785310734,0.0,0.0,0.002824858757062147,0.0,0.002824858757062147,0.0,0.0,0.002824858757062147,0.005649717514124294,0.005649717514124294,0.025423728813559324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.011299435028248588,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.00847457627118644,0.0,0.0,0.002824858757062147,0.0,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.002824858757062147,0.002824858757062147,0.002824858757062147,0.0,0.0,0.002824858757062147,0.0,0.0,0.0,0.00847457627118644,0.002824858757062147,0.0,0.00847457627118644,0.0,0.0,0.0,0.005649717514124294,0.014124293785310734,0.0
Unsteady_lyrics.txt,0.0,0.023121387283236993,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618497,0.005780346820809248,0.0,0.0,0.0,0.0,0.08092485549132948,0.08092485549132948,0.0,0.0,0.011560693641618497,0.0,0.0,0.005780346820809248,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.023121387283236993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.03468208092485549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.017341040462427744,0.0,0.0,0.011560693641618497,0.005780346820809248,0.0,0.0,0.0,0.0,0.023121387283236993,0.0,0.011560693641618497,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023121387283236993,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618497,0.08670520231213873,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017341040462427744,0.005780346820809248,0.0,0.0,0.08092485549132948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marry You_lyrics.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.023952095808383235,0.0029940119760479044,0.0,0.011976047904191617,0.0,0.0,0.0029940119760479044,0.0,0.0,0.02694610778443114,0.0,0.017964071856287425,0.059880239520958084,0.0,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014970059880239521,0.0,0.0029940119760479044,0.0,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658682634730539,0.0,0.0,0.0,0.023952095808383235,0.0029940119760479044,0.0,0.014970059880239521,0.014970059880239521,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.011976047904191617,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0029940119760479044,0.014970059880239521,0.017964071856287425,0.014970059880239521,0.005988023952095809,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0,0.017964071856287425,0.0029940119760479044,0.0,0.0,0.0029940119760479044,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.017964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.0,0.0,0.0,0.0029940119760479044,0.014970059880239521,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029940119760479044,0.02694610778443114,0.0,0.0,0.0,0.0,0.05688622754491018,0.0
Here Without You_lyrics.txt,0.0,0.007326007326007326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.007326007326007326,0.0,0.0,0.0,0.0,0.0,0.007326007326007326,0.040293040293040296,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03663003663003663,0.0,0.0,0.007326007326007326,0.01098901098901099,0.0,0.0,0.014652014652014652,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.007326007326007326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.007326007326007326,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.014652014652014652,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.018315018315018316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.007326007326007326,0.0,0.0,0.007326007326007326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.0
Have You Ever Seen The Rain_lyrics.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034013605442176874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.013605442176870748,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
