Category,Value
affection,0.0206730043760374
body,0.0135808057944771
children,0.0194658216387505
cold,0.0110155424777425
communication,0.0057341180021125
family,0.0092047683718122
friends,0.0265580202203108
giving,0.0113173381620642
hearing,0.0037724460540214
listen,0.0055832201599517
love,0.0319903425381017
movement,0.0076957899502037
music,0.0055832201599517
negative_emotion,0.0164478647955334
nervousness,0.0090538705296514
night,0.0051305266334691
optimism,0.0211256979025199
pain,0.0125245208993511
party,0.0081484834766862
positive_emotion,0.0271616115889542
shame,0.0101101554247774
speaking,0.0104119511090991
vacation,0.0072430964237211
violence,0.0126754187415119
youth,0.0096574618982948
