Category,Value
achievement,0.00017382235355466714
affection,0.010776985920389361
aggression,0.0017382235355466714
air_travel,0.00121675647488267
alcohol,0.0010429341213280027
ancient,0.0006952894142186686
anger,0.0020858682426560054
animal,0.0005214670606640013
anonymity,0.0
anticipation,0.0
appearance,0.0006952894142186686
art,0.004345558838866679
attractive,0.0036502694246480097
banking,0.0003476447071093343
beach,0.0005214670606640013
beauty,0.004693203545976013
blue_collar_job,0.0
body,0.0066052494350773506
breaking,0.005040848253085347
business,0.004519381192421346
car,0.0005214670606640013
celebration,0.004171736485312011
cheerfulness,0.0015644011819920041
childish,0.002607335303320007
children,0.011298452981053364
cleaning,0.0005214670606640013
clothing,0.0008691117677733357
cold,0.0029549800104293413
college,0.00017382235355466714
communication,0.0073005388492960194
competing,0.0005214670606640013
computer,0.0
confusion,0.0003476447071093343
contentment,0.0036502694246480097
cooking,0.0
crime,0.00017382235355466714
dance,0.004693203545976013
death,0.009560229445506692
deception,0.004171736485312011
disappointment,0.0010429341213280027
disgust,0.0015644011819920041
dispute,0.005214670606640014
divine,0.0029549800104293413
domestic_work,0.0005214670606640013
dominant_heirarchical,0.0
dominant_personality,0.0
driving,0.0006952894142186686
eating,0.0
economics,0.00017382235355466714
emotional,0.0055623153137493485
envy,0.002259690596210673
exasperation,0.0
exercise,0.0
exotic,0.0003476447071093343
fabric,0.0005214670606640013
family,0.008169650617069354
farming,0.0
fashion,0.0008691117677733357
fear,0.0033026247175386753
feminine,0.0017382235355466714
fight,0.0015644011819920041
fire,0.002607335303320007
friends,0.012341387102381366
fun,0.004693203545976013
furniture,0.0005214670606640013
gain,0.0
giving,0.008343472970624021
government,0.0
hate,0.004345558838866679
healing,0.00243351294976534
health,0.0003476447071093343
hearing,0.008169650617069354
help,0.0015644011819920041
heroic,0.0015644011819920041
hiking,0.00017382235355466714
hipster,0.00243351294976534
home,0.0015644011819920041
horror,0.0019120458891013384
hygiene,0.0006952894142186686
independence,0.0
injury,0.0064314270815226835
internet,0.0
irritability,0.0
journalism,0.0003476447071093343
joy,0.0015644011819920041
kill,0.0038240917782026767
law,0.0
leader,0.0
legend,0.00017382235355466714
leisure,0.0003476447071093343
liquid,0.0003476447071093343
listen,0.008864940031288024
love,0.014774900052146706
lust,0.0027811576568746743
magic,0.0005214670606640013
masculine,0.00243351294976534
medical_emergency,0.00121675647488267
medieval,0.0
meeting,0.0031288023639840083
messaging,0.0006952894142186686
military,0.00017382235355466714
money,0.0010429341213280027
monster,0.002259690596210673
morning,0.00017382235355466714
movement,0.009907874152616026
music,0.005214670606640014
musical,0.0008691117677733357
negative_emotion,0.017208413001912046
neglect,0.0010429341213280027
negotiate,0.00017382235355466714
nervousness,0.0033026247175386753
night,0.00851729532417869
noise,0.0015644011819920041
occupation,0.0
ocean,0.0
office,0.0003476447071093343
optimism,0.011819920041717365
order,0.00121675647488267
pain,0.01025551885972536
party,0.0055623153137493485
payment,0.0006952894142186686
pet,0.00017382235355466714
philosophy,0.0
phone,0.0064314270815226835
plant,0.0
play,0.0017382235355466714
politeness,0.00017382235355466714
politics,0.0
poor,0.00017382235355466714
positive_emotion,0.014253432991482705
power,0.0010429341213280027
pride,0.0008691117677733357
prison,0.0005214670606640013
programming,0.0
rage,0.0003476447071093343
reading,0.0005214670606640013
real_estate,0.00017382235355466714
religion,0.0
restaurant,0.0
ridicule,0.00017382235355466714
royalty,0.0
rural,0.0005214670606640013
sadness,0.00243351294976534
sailing,0.0
school,0.0005214670606640013
science,0.0005214670606640013
sexual,0.0015644011819920041
shame,0.008343472970624021
shape_and_size,0.0033026247175386753
ship,0.0
shopping,0.0003476447071093343
sleep,0.005388492960194681
smell,0.0003476447071093343
social_media,0.0005214670606640013
sound,0.00243351294976534
speaking,0.011993742395272032
sports,0.00017382235355466714
stealing,0.0003476447071093343
strength,0.0020858682426560054
suffering,0.008691117677733357
superhero,0.0005214670606640013
surprise,0.003997914131757344
swearing_terms,0.0033026247175386753
swimming,0.0
sympathy,0.00017382235355466714
technology,0.0
terrorism,0.0
timidity,0.0003476447071093343
tool,0.00017382235355466714
torment,0.0015644011819920041
tourism,0.00121675647488267
toy,0.0006952894142186686
traveling,0.006779071788632018
trust,0.0031288023639840083
ugliness,0.0
urban,0.0003476447071093343
vacation,0.0038240917782026767
valuable,0.0003476447071093343
vehicle,0.0005214670606640013
violence,0.010081696506170693
war,0.0008691117677733357
warmth,0.00121675647488267
water,0.00017382235355466714
weakness,0.0034764470710933427
wealthy,0.0006952894142186686
weapon,0.0017382235355466714
weather,0.0020858682426560054
wedding,0.0013905788284373371
white_collar_job,0.0
work,0.00017382235355466714
worship,0.0003476447071093343
writing,0.0010429341213280027
youth,0.00851729532417869
zest,0.0008691117677733357
