Category,Value
affection,0.0268022181146025
body,0.0066543438077634
children,0.0147874306839186
cold,0.0070240295748613
communication,0.0120147874306839
family,0.0075785582255083
friends,0.0312384473197781
giving,0.0029574861367837
hearing,0.0099815157116451
listen,0.0116451016635859
love,0.0308687615526802
movement,0.0044362292051756
music,0.0042513863216266
negative_emotion,0.0197781885397412
nervousness,0.0062846580406654
night,0.0022181146025878
optimism,0.0303142329020332
pain,0.011090573012939
party,0.0036968576709796
positive_emotion,0.0321626617375231
shame,0.0099815157116451
speaking,0.0177449168207024
vacation,0.0040665434380776
violence,0.0112754158964879
youth,0.0114602587800369
