Category,Value
affection,0.0182591982427237
body,0.0116694124107633
children,0.0127677100494233
cold,0.007550796265788
communication,0.0034321801208127
family,0.0060406370126304
friends,0.029379461834157
giving,0.0074135090609555
hearing,0.0034321801208127
listen,0.0056287753981328
love,0.0264964305326743
movement,0.0074135090609555
music,0.0064524986271279
negative_emotion,0.0149643053267435
nervousness,0.0050796265788028
night,0.0054914881933003
optimism,0.0205930807248764
pain,0.008099945085118
party,0.0112575507962657
positive_emotion,0.0284184514003294
shame,0.0076880834706205
speaking,0.0070016474464579
vacation,0.0057660626029654
violence,0.0112575507962657
youth,0.0090609555189456
