Category,Value
affection,0.0160511549001696
body,0.0078298316586193
children,0.0123972334594806
cold,0.0062638653268954
communication,0.0131802166253425
family,0.0070468484927574
friends,0.0214015398668928
giving,0.0092653007960328
hearing,0.0056113793553438
listen,0.0070468484927574
love,0.0211405454782722
movement,0.0056113793553438
music,0.0019574579146548
negative_emotion,0.0210100482839618
nervousness,0.003262429857758
night,0.0054808821610335
optimism,0.0177476184262038
pain,0.006916351298447
party,0.0030014354691374
positive_emotion,0.0223150202270651
shame,0.0037844186349993
speaking,0.015007177345687
vacation,0.0030014354691374
violence,0.0066553569098264
youth,0.0058723737439645
