Category,Value
affection,0.0120928954239384
body,0.0072832211075992
children,0.0067335440428748
cold,0.0039851587192524
communication,0.0067335440428748
family,0.0039851587192524
friends,0.0130548302872062
giving,0.0048096743163391
hearing,0.0083825752370482
listen,0.010443864229765
love,0.0167651504740964
movement,0.0079703174385048
music,0.0075580596399615
negative_emotion,0.02088772845953
nervousness,0.0037103201868902
night,0.009344510100316
optimism,0.0118180568915761
pain,0.0075580596399615
party,0.0045348357839769
positive_emotion,0.0158032156108286
shame,0.004672255050158
speaking,0.0097567678988594
vacation,0.005909028445788
violence,0.0054967706472447
youth,0.0034354816545279
