Category,Value
achievement,0.00028188865398167724
affection,0.017054263565891473
aggression,0.0033826638477801266
air_travel,0.0007047216349541931
alcohol,0.0009866102889358704
ancient,0.00042283298097251583
anger,0.0021141649048625794
animal,0.00028188865398167724
anonymity,0.0
anticipation,0.00028188865398167724
appearance,0.00042283298097251583
art,0.0015503875968992248
attractive,0.0009866102889358704
banking,0.00042283298097251583
beach,0.0014094432699083862
beauty,0.0007047216349541931
blue_collar_job,0.00014094432699083862
body,0.005355884425651868
breaking,0.004933051444679351
business,0.0012684989429175475
car,0.001973220577871741
celebration,0.0008456659619450317
cheerfulness,0.0008456659619450317
childish,0.004792107117688513
children,0.008879492600422832
cleaning,0.0008456659619450317
clothing,0.0014094432699083862
cold,0.0035236081747709656
college,0.00028188865398167724
communication,0.015926708949964764
competing,0.0015503875968992248
computer,0.0021141649048625794
confusion,0.0008456659619450317
contentment,0.001973220577871741
cooking,0.00014094432699083862
crime,0.0009866102889358704
dance,0.0033826638477801266
death,0.0038054968287526427
deception,0.001127554615926709
disappointment,0.0009866102889358704
disgust,0.0015503875968992248
dispute,0.006906272022551093
divine,0.0021141649048625794
domestic_work,0.0005637773079633545
dominant_heirarchical,0.0
dominant_personality,0.0
driving,0.0023960535588442564
eating,0.00042283298097251583
economics,0.0005637773079633545
emotional,0.0014094432699083862
envy,0.007329105003523608
exasperation,0.00014094432699083862
exercise,0.0005637773079633545
exotic,0.0008456659619450317
fabric,0.00042283298097251583
family,0.005919661733615222
farming,0.00042283298097251583
fashion,0.0005637773079633545
fear,0.004651162790697674
feminine,0.001127554615926709
fight,0.003241719520789288
fire,0.0021141649048625794
friends,0.019027484143763214
fun,0.002677942212825934
furniture,0.001127554615926709
gain,0.00028188865398167724
giving,0.003241719520789288
government,0.0005637773079633545
hate,0.008033826638477801
healing,0.0035236081747709656
health,0.001127554615926709
hearing,0.009584214235377026
help,0.001832276250880902
heroic,0.0007047216349541931
hiking,0.0009866102889358704
hipster,0.00028188865398167724
home,0.0015503875968992248
horror,0.002677942212825934
hygiene,0.0005637773079633545
independence,0.0
injury,0.005919661733615222
internet,0.0
irritability,0.00014094432699083862
journalism,0.0
joy,0.0005637773079633545
kill,0.003241719520789288
law,0.0007047216349541931
leader,0.0005637773079633545
legend,0.0005637773079633545
leisure,0.0008456659619450317
liquid,0.001127554615926709
listen,0.011557434813248767
love,0.020155038759689922
lust,0.0014094432699083862
magic,0.0007047216349541931
masculine,0.0012684989429175475
medical_emergency,0.0
medieval,0.0
meeting,0.005355884425651868
messaging,0.00042283298097251583
military,0.00014094432699083862
money,0.001127554615926709
monster,0.00042283298097251583
morning,0.00028188865398167724
movement,0.008597603946441155
music,0.004933051444679351
musical,0.0023960535588442564
negative_emotion,0.02438336856941508
neglect,0.0009866102889358704
negotiate,0.0
nervousness,0.0038054968287526427
night,0.0015503875968992248
noise,0.0028188865398167725
occupation,0.00014094432699083862
ocean,0.001127554615926709
office,0.0007047216349541931
optimism,0.017618040873854827
order,0.006060606060606061
pain,0.009584214235377026
party,0.002959830866807611
payment,0.00042283298097251583
pet,0.0015503875968992248
philosophy,0.0
phone,0.008033826638477801
plant,0.00042283298097251583
play,0.0023960535588442564
politeness,0.00014094432699083862
politics,0.0
poor,0.00014094432699083862
positive_emotion,0.02255109231853418
power,0.0015503875968992248
pride,0.0007047216349541931
prison,0.0008456659619450317
programming,0.0
rage,0.00042283298097251583
reading,0.0008456659619450317
real_estate,0.00014094432699083862
religion,0.0005637773079633545
restaurant,0.0
ridicule,0.0007047216349541931
royalty,0.0005637773079633545
rural,0.00028188865398167724
sadness,0.0023960535588442564
sailing,0.0009866102889358704
school,0.00014094432699083862
science,0.0
sexual,0.0014094432699083862
shame,0.003946441155743482
shape_and_size,0.00408738548273432
ship,0.0007047216349541931
shopping,0.00028188865398167724
sleep,0.001832276250880902
smell,0.00042283298097251583
social_media,0.00042283298097251583
sound,0.00408738548273432
speaking,0.022832980972515855
sports,0.0012684989429175475
stealing,0.0007047216349541931
strength,0.0035236081747709656
suffering,0.006060606060606061
superhero,0.0
surprise,0.0005637773079633545
swearing_terms,0.006483439041578576
swimming,0.001127554615926709
sympathy,0.00014094432699083862
technology,0.00014094432699083862
terrorism,0.0
timidity,0.001832276250880902
tool,0.00042283298097251583
torment,0.0007047216349541931
tourism,0.0
toy,0.0008456659619450317
traveling,0.0038054968287526427
trust,0.002959830866807611
ugliness,0.00014094432699083862
urban,0.0
vacation,0.002536997885835095
valuable,0.0005637773079633545
vehicle,0.0014094432699083862
violence,0.006906272022551093
war,0.001973220577871741
warmth,0.0016913319238900633
water,0.0021141649048625794
weakness,0.002536997885835095
wealthy,0.00014094432699083862
weapon,0.0016913319238900633
weather,0.003241719520789288
wedding,0.00028188865398167724
white_collar_job,0.00014094432699083862
work,0.0009866102889358704
worship,0.0008456659619450317
writing,0.0021141649048625794
youth,0.004510218463706836
zest,0.00028188865398167724
