Category,Value
affection,0.0170542635658914
body,0.0053558844256518
children,0.0088794926004228
cold,0.0035236081747709
communication,0.0159267089499647
family,0.0059196617336152
friends,0.0190274841437632
giving,0.0032417195207892
hearing,0.009584214235377
listen,0.0115574348132487
love,0.0201550387596899
movement,0.0085976039464411
music,0.0049330514446793
negative_emotion,0.024383368569415
nervousness,0.0038054968287526
night,0.0015503875968992
optimism,0.0176180408738548
pain,0.009584214235377
party,0.0029598308668076
positive_emotion,0.0225510923185341
shame,0.0039464411557434
speaking,0.0228329809725158
vacation,0.002536997885835
violence,0.006906272022551
youth,0.0045102184637068
