Category,Value
affection,0.0127112523472483
body,0.0054889498772208
children,0.0036111512350137
cold,0.0041889354326159
communication,0.0034667051856131
family,0.0037555972844142
friends,0.0141557128412537
giving,0.0033222591362126
hearing,0.004477827531417
listen,0.0053445038278203
love,0.0145890509894554
movement,0.004477827531417
music,0.0057778419760219
negative_emotion,0.0218113534594828
nervousness,0.0043333814820164
night,0.0040444893832153
optimism,0.0141557128412537
pain,0.0080889787664307
party,0.0067889643218257
positive_emotion,0.0200780008666762
shame,0.0098223313592373
speaking,0.0075111945688285
vacation,0.0041889354326159
violence,0.0092445471616351
youth,0.0030333670374115
