Category,Value
achievement,0.0002888920988010978
affection,0.012711252347248302
aggression,0.00130001444460494
air_travel,0.0001444460494005489
alcohol,0.00260002888920988
ancient,0.0002888920988010978
anger,0.0002888920988010978
animal,0.0015889065434060378
anonymity,0.0
anticipation,0.0
appearance,0.0001444460494005489
art,0.001444460494005489
attractive,0.00130001444460494
banking,0.0005777841976021956
beach,0.001444460494005489
beauty,0.0010111223458038423
blue_collar_job,0.0
body,0.005488949877220858
breaking,0.004044489383215369
business,0.00260002888920988
car,0.0021666907410082333
celebration,0.0011555683952043912
cheerfulness,0.0002888920988010978
childish,0.001444460494005489
children,0.0036111512350137224
cleaning,0.0002888920988010978
clothing,0.0001444460494005489
cold,0.004188935432615918
college,0.0001444460494005489
communication,0.0034667051856131733
competing,0.0005777841976021956
computer,0.0
confusion,0.0008666762964032933
contentment,0.00390004333381482
cooking,0.001444460494005489
crime,0.0005777841976021956
dance,0.001444460494005489
death,0.004622273580817565
deception,0.003033367037411527
disappointment,0.0005777841976021956
disgust,0.0002888920988010978
dispute,0.001444460494005489
divine,0.0034667051856131733
domestic_work,0.001444460494005489
dominant_heirarchical,0.0
dominant_personality,0.0
driving,0.002888920988010978
eating,0.002744474938610429
economics,0.0001444460494005489
emotional,0.005633395926621407
envy,0.0007222302470027445
exasperation,0.0
exercise,0.0002888920988010978
exotic,0.00043333814820164666
fabric,0.0002888920988010978
family,0.003755597284414271
farming,0.0002888920988010978
fashion,0.0002888920988010978
fear,0.0017333525928065867
feminine,0.00130001444460494
fight,0.0020222446916076846
fire,0.0017333525928065867
friends,0.014155712841253791
fun,0.0008666762964032933
furniture,0.00043333814820164666
gain,0.0001444460494005489
giving,0.0033222591362126247
government,0.0
hate,0.004622273580817565
healing,0.0018777986422071355
health,0.0002888920988010978
hearing,0.004477827531417016
help,0.00130001444460494
heroic,0.0018777986422071355
hiking,0.0007222302470027445
hipster,0.0005777841976021956
home,0.00260002888920988
horror,0.0001444460494005489
hygiene,0.0
independence,0.0
injury,0.0034667051856131733
internet,0.0001444460494005489
irritability,0.0
journalism,0.0001444460494005489
joy,0.00130001444460494
kill,0.0023111367904087824
law,0.0001444460494005489
leader,0.0
legend,0.001444460494005489
leisure,0.00130001444460494
liquid,0.0017333525928065867
listen,0.005344503827820309
love,0.014589050989455439
lust,0.00130001444460494
magic,0.0008666762964032933
masculine,0.0010111223458038423
medical_emergency,0.0008666762964032933
medieval,0.0
meeting,0.0008666762964032933
messaging,0.0007222302470027445
military,0.0
money,0.0018777986422071355
monster,0.0011555683952043912
morning,0.0008666762964032933
movement,0.004477827531417016
music,0.005777841976021956
musical,0.002888920988010978
negative_emotion,0.021811353459482884
neglect,0.0005777841976021956
negotiate,0.0001444460494005489
nervousness,0.0043333814820164665
night,0.004044489383215369
noise,0.001444460494005489
occupation,0.0001444460494005489
ocean,0.00130001444460494
office,0.0005777841976021956
optimism,0.014155712841253791
order,0.00130001444460494
pain,0.008088978766430738
party,0.006788964321825798
payment,0.0005777841976021956
pet,0.0010111223458038423
philosophy,0.0002888920988010978
phone,0.003033367037411527
plant,0.0
play,0.0005777841976021956
politeness,0.0008666762964032933
politics,0.0
poor,0.0
positive_emotion,0.020078000866676295
power,0.0017333525928065867
pride,0.0002888920988010978
prison,0.0010111223458038423
programming,0.0
rage,0.0001444460494005489
reading,0.0020222446916076846
real_estate,0.0001444460494005489
religion,0.0002888920988010978
restaurant,0.0015889065434060378
ridicule,0.0001444460494005489
royalty,0.0
rural,0.0005777841976021956
sadness,0.004622273580817565
sailing,0.0010111223458038423
school,0.0001444460494005489
science,0.0001444460494005489
sexual,0.0001444460494005489
shame,0.009822331359237324
shape_and_size,0.0011555683952043912
ship,0.0005777841976021956
shopping,0.0005777841976021956
sleep,0.002888920988010978
smell,0.0011555683952043912
social_media,0.0007222302470027445
sound,0.002888920988010978
speaking,0.007511194568828542
sports,0.00043333814820164666
stealing,0.0001444460494005489
strength,0.0033222591362126247
suffering,0.0065000722230247
superhero,0.00130001444460494
surprise,0.0001444460494005489
swearing_terms,0.003755597284414271
swimming,0.001444460494005489
sympathy,0.0010111223458038423
technology,0.0
terrorism,0.0
timidity,0.0005777841976021956
tool,0.0002888920988010978
torment,0.00043333814820164666
tourism,0.0001444460494005489
toy,0.0010111223458038423
traveling,0.00260002888920988
trust,0.004622273580817565
ugliness,0.0
urban,0.0002888920988010978
vacation,0.004188935432615918
valuable,0.0002888920988010978
vehicle,0.0031778130868120756
violence,0.00924454716163513
war,0.0008666762964032933
warmth,0.0017333525928065867
water,0.001444460494005489
weakness,0.0008666762964032933
wealthy,0.0002888920988010978
weapon,0.0031778130868120756
weather,0.002888920988010978
wedding,0.0002888920988010978
white_collar_job,0.0
work,0.0005777841976021956
worship,0.0007222302470027445
writing,0.0005777841976021956
youth,0.003033367037411527
zest,0.0010111223458038423
