Category,Value
affection,0.0171502072316707
body,0.00728883807346
children,0.0207231670716021
cold,0.0051450621695012
communication,0.006145490924682
family,0.0147205945405173
friends,0.0331570673145633
giving,0.0100042875518079
hearing,0.0041446334143204
listen,0.006717164499071
love,0.0210090038587966
movement,0.0071459196798627
music,0.0080034300414463
negative_emotion,0.0161497784764899
nervousness,0.0038587966271259
night,0.0087180220094326
optimism,0.0242961269115335
pain,0.0070030012862655
party,0.0074317564670573
positive_emotion,0.0278690867514649
shame,0.0047163069887094
speaking,0.0087180220094326
vacation,0.0054308989566957
violence,0.00728883807346
youth,0.019008146348435
