Category,Value
achievement,0.0002759381898454746
affection,0.006070640176600441
aggression,0.001793598233995585
air_travel,0.0026214128035320088
alcohol,0.001793598233995585
ancient,0.0004139072847682119
anger,0.001793598233995585
animal,0.0
anonymity,0.0001379690949227373
anticipation,0.0002759381898454746
appearance,0.0011037527593818985
art,0.004966887417218543
attractive,0.0009657836644591612
banking,0.004415011037527594
beach,0.0006898454746136866
beauty,0.0011037527593818985
blue_collar_job,0.0001379690949227373
body,0.013934878587196468
breaking,0.004690949227373068
business,0.01379690949227373
car,0.004690949227373068
celebration,0.004828918322295806
cheerfulness,0.0
childish,0.004552980132450331
children,0.008967991169977926
cleaning,0.0013796909492273732
clothing,0.0005518763796909492
cold,0.012417218543046357
college,0.0
communication,0.004966887417218543
competing,0.0002759381898454746
computer,0.0005518763796909492
confusion,0.0004139072847682119
contentment,0.012003311258278146
cooking,0.0002759381898454746
crime,0.0008278145695364238
dance,0.004966887417218543
death,0.0020695364238410598
deception,0.0016556291390728477
disappointment,0.0004139072847682119
disgust,0.0001379690949227373
dispute,0.0008278145695364238
divine,0.0019315673289183224
domestic_work,0.001793598233995585
dominant_heirarchical,0.0
dominant_personality,0.0008278145695364238
driving,0.0063465783664459164
eating,0.0004139072847682119
economics,0.0031732891832229582
emotional,0.00510485651214128
envy,0.0001379690949227373
exasperation,0.0
exercise,0.0002759381898454746
exotic,0.0002759381898454746
fabric,0.0001379690949227373
family,0.005380794701986755
farming,0.0001379690949227373
fashion,0.0001379690949227373
fear,0.003863134657836645
feminine,0.002207505518763797
fight,0.0013796909492273732
fire,0.001793598233995585
friends,0.009519867549668874
fun,0.005932671081677704
furniture,0.0008278145695364238
gain,0.0
giving,0.014624724061810155
government,0.0
hate,0.005794701986754967
healing,0.003863134657836645
health,0.0009657836644591612
hearing,0.0052428256070640175
help,0.002207505518763797
heroic,0.0013796909492273732
hiking,0.0
hipster,0.0002759381898454746
home,0.001793598233995585
horror,0.0026214128035320088
hygiene,0.0008278145695364238
independence,0.0
injury,0.009381898454746136
internet,0.0004139072847682119
irritability,0.0002759381898454746
journalism,0.0
joy,0.0008278145695364238
kill,0.0009657836644591612
law,0.0006898454746136866
leader,0.0004139072847682119
legend,0.0013796909492273732
leisure,0.0020695364238410598
liquid,0.0024834437086092716
listen,0.008002207505518763
love,0.016556291390728478
lust,0.0009657836644591612
magic,0.0001379690949227373
masculine,0.0013796909492273732
medical_emergency,0.0
medieval,0.0001379690949227373
meeting,0.0005518763796909492
messaging,0.0008278145695364238
military,0.0
money,0.006070640176600441
monster,0.0
morning,0.0004139072847682119
movement,0.010071743929359823
music,0.00869205298013245
musical,0.002345474613686534
negative_emotion,0.027731788079470198
neglect,0.0004139072847682119
negotiate,0.0
nervousness,0.01283112582781457
night,0.014072847682119206
noise,0.0020695364238410598
occupation,0.0002759381898454746
ocean,0.0006898454746136866
office,0.0006898454746136866
optimism,0.009105960264900662
order,0.0019315673289183224
pain,0.022764900662251654
party,0.008967991169977926
payment,0.0027593818984547464
pet,0.0
philosophy,0.0005518763796909492
phone,0.004552980132450331
plant,0.0016556291390728477
play,0.0037251655629139072
politeness,0.0001379690949227373
politics,0.0
poor,0.0001379690949227373
positive_emotion,0.011865342163355408
power,0.0027593818984547464
pride,0.0001379690949227373
prison,0.0019315673289183224
programming,0.0
rage,0.0
reading,0.0015176600441501103
real_estate,0.0002759381898454746
religion,0.0012417218543046358
restaurant,0.0008278145695364238
ridicule,0.0001379690949227373
royalty,0.0004139072847682119
rural,0.0001379690949227373
sadness,0.0030353200883002206
sailing,0.0015176600441501103
school,0.0004139072847682119
science,0.0
sexual,0.0012417218543046358
shame,0.01903973509933775
shape_and_size,0.0009657836644591612
ship,0.0020695364238410598
shopping,0.0004139072847682119
sleep,0.005932671081677704
smell,0.0001379690949227373
social_media,0.0005518763796909492
sound,0.0026214128035320088
speaking,0.008140176600441501
sports,0.0009657836644591612
stealing,0.0
strength,0.006484547461368654
suffering,0.008967991169977926
superhero,0.0012417218543046358
surprise,0.0004139072847682119
swearing_terms,0.008967991169977926
swimming,0.0013796909492273732
sympathy,0.0008278145695364238
technology,0.0
terrorism,0.0
timidity,0.0011037527593818985
tool,0.0005518763796909492
torment,0.002345474613686534
tourism,0.0
toy,0.002345474613686534
traveling,0.0040011037527593815
trust,0.004552980132450331
ugliness,0.0001379690949227373
urban,0.0005518763796909492
vacation,0.007036423841059603
valuable,0.004415011037527594
vehicle,0.004552980132450331
violence,0.02041942604856512
war,0.0009657836644591612
warmth,0.002207505518763797
water,0.0015176600441501103
weakness,0.0013796909492273732
wealthy,0.0004139072847682119
weapon,0.0013796909492273732
weather,0.0015176600441501103
wedding,0.0005518763796909492
white_collar_job,0.0002759381898454746
work,0.0004139072847682119
worship,0.0013796909492273732
writing,0.001793598233995585
youth,0.006760485651214128
zest,0.0011037527593818985
