Category,Value
affection,0.0060706401766004
body,0.0139348785871964
children,0.0089679911699779
cold,0.0124172185430463
communication,0.0049668874172185
family,0.0053807947019867
friends,0.0095198675496688
giving,0.0146247240618101
hearing,0.005242825607064
listen,0.0080022075055187
love,0.0165562913907284
movement,0.0100717439293598
music,0.0086920529801324
negative_emotion,0.0277317880794701
nervousness,0.0128311258278145
night,0.0140728476821192
optimism,0.0091059602649006
pain,0.0227649006622516
party,0.0089679911699779
positive_emotion,0.0118653421633554
shame,0.0190397350993377
speaking,0.0081401766004415
vacation,0.0070364238410596
violence,0.0204194260485651
youth,0.0067604856512141
