Category,Value
affection,0.0202568276361005
body,0.0095858202206547
children,0.012841381805028
cold,0.0075963103635377
communication,0.0072345812986073
family,0.0052450714414903
friends,0.0262253572074516
giving,0.0113944655453065
hearing,0.0032555615843733
listen,0.0066919877012117
love,0.0293000542593597
movement,0.0090432266232591
music,0.0074154458310725
negative_emotion,0.0195333695062398
nervousness,0.0047024778440947
night,0.0052450714414903
optimism,0.0220654729607523
pain,0.0083197684933984
party,0.0094049556881895
positive_emotion,0.0302043769216856
shame,0.003979019714234
speaking,0.0081389039609332
vacation,0.0072345812986073
violence,0.0081389039609332
youth,0.007958039428468
