Category,Value
affection,0.0102954940500066
body,0.0054820163123412
children,0.009760663190266
cold,0.0056157240272763
communication,0.0021393234389624
family,0.0064179703168872
friends,0.0189864955207915
giving,0.0068190934616927
hearing,0.0013370771493515
listen,0.0024067388688327
love,0.0147078486428666
movement,0.0032089851584436
music,0.0033426928733787
negative_emotion,0.0116325711993582
nervousness,0.0025404465837678
night,0.0041449391629897
optimism,0.0121674020590988
pain,0.0041449391629897
party,0.0064179703168872
positive_emotion,0.0171145875116994
shame,0.0034764005883139
speaking,0.0060168471720818
vacation,0.0074876320363684
violence,0.0049471854526006
youth,0.0073539243214333
