Category,Value
affection,0.0194120909595119
body,0.007071547420965
children,0.0079034941763727
cold,0.00471436494731
communication,0.011924570160843
family,0.0076261785912368
friends,0.0237104825291181
giving,0.0055463117027176
hearing,0.0102606766500277
listen,0.0124792013311148
love,0.0221852468108707
movement,0.004575707154742
music,0.0049916805324459
negative_emotion,0.0152523571824736
nervousness,0.0031891292290626
night,0.011785912368275
optimism,0.0226012201885746
pain,0.0076261785912368
party,0.0073488630061009
positive_emotion,0.0273155851358846
shame,0.0059622850804215
speaking,0.0169162506932889
vacation,0.0040210759844703
violence,0.004575707154742
youth,0.0062396006655574
