Category,Value
affection,0.0126495256427883
body,0.0093496493881479
children,0.0221366698748796
cold,0.007837206104771
communication,0.0056372886016774
family,0.0123745359549016
friends,0.0314863192630276
giving,0.0136119895503918
hearing,0.0038498556304138
listen,0.0063247628213941
love,0.0230991337824831
movement,0.005087309225904
music,0.0082496906366011
negative_emotion,0.0167743709610889
nervousness,0.0072872267289976
night,0.0072872267289976
optimism,0.015261927677712
pain,0.0096246390760346
party,0.0096246390760346
positive_emotion,0.0211742059672762
shame,0.0083871854805444
speaking,0.0079747009487144
vacation,0.0079747009487144
violence,0.0103121132957514
youth,0.0200742472157294
