Category,Value
affection,0.0181923187987294
body,0.0056309558186543
children,0.0157377995957262
cold,0.0027432861680623
communication,0.0106843777071902
family,0.0092405428818943
friends,0.0238232746173837
giving,0.0060641062662431
hearing,0.0077967080565983
listen,0.0109731446722494
love,0.020502454519203
movement,0.0056309558186543
music,0.0060641062662431
negative_emotion,0.013283280392723
nervousness,0.0018769852728847
night,0.0115506786023678
optimism,0.0174704013860814
pain,0.0057753393011839
party,0.0054865723361247
positive_emotion,0.0219462893444989
shame,0.0036095870632399
speaking,0.015449032630667
vacation,0.0077967080565983
violence,0.0041871209933583
youth,0.0099624602945423
