Category,Value
affection,0.0173550383425265
body,0.0048432665141934
children,0.0271761065518633
cold,0.0026907036189963
communication,0.0033633795237454
family,0.0188349253329745
friends,0.0326920489708058
giving,0.0138571236378312
hearing,0.002152562895197
listen,0.0030943091618458
love,0.0230055159424189
movement,0.0030943091618458
music,0.0040360554284945
negative_emotion,0.0160096865330283
nervousness,0.002959773980896
night,0.0041705906094443
optimism,0.0184313197901251
pain,0.0055159424189425
party,0.005919547961792
positive_emotion,0.0232745863043185
shame,0.0037669850665949
speaking,0.0071303645903403
vacation,0.0048432665141934
violence,0.0056504775998923
youth,0.0246199381138167
