Category,Value
affection,0.0162777297608758
body,0.0164217804667242
children,0.0059060789397868
cold,0.0146931719965427
communication,0.006626332469029
family,0.006914433880726
friends,0.0177182368193604
giving,0.0061941803514837
hearing,0.0087870930567559
listen,0.0123883607029674
love,0.0279458369346009
movement,0.0082108902333621
music,0.0086430423509075
negative_emotion,0.0162777297608758
nervousness,0.0129645635263612
night,0.0063382310573321
optimism,0.0187265917602996
pain,0.0203111495246326
party,0.0028810141169691
positive_emotion,0.0243445692883895
shame,0.0159896283491789
speaking,0.0097954479976951
vacation,0.003169115528666
violence,0.0171420339959665
youth,0.0054739268222414
